Year,Month,Day,Hour,Minute,Load
2017,09,09,14,39,7.6
2017,09,09,14,54,7.4
2017,09,09,15,09,7.3
2017,09,09,15,24,6.6
2017,09,09,15,39,5.9
2017,09,09,15,54,5.9
2017,09,09,16,09,5.6
2017,09,09,16,24,5.8
2017,09,09,16,39,5.7
2017,09,09,16,54,8.4
2017,09,09,17,09,7.2
2017,09,09,17,24,6.9
2017,09,09,17,39,7.3
2017,09,09,17,54,9.0
2017,09,09,18,09,10.7
2017,09,09,18,24,8.4
2017,09,09,18,39,8.6
2017,09,09,18,54,9.0
2017,09,09,19,09,8.7
2017,09,09,19,24,8.3
2017,09,09,19,39,6.8
2017,09,09,19,54,7.7
2017,09,09,20,09,7.2
2017,09,09,20,24,9.8
2017,09,09,20,39,8.1
2017,09,09,20,54,9.9
2017,09,09,21,09,10.1
2017,09,09,21,24,10.2
2017,09,09,21,39,8.8
2017,09,09,21,54,9.2
2017,09,09,22,09,10.5
2017,09,09,22,24,7.7
2017,09,09,22,39,9.8
2017,09,09,22,54,10.1
2017,09,09,23,09,9.2
2017,09,09,23,24,8.3
2017,09,09,23,39,7.6
2017,09,09,23,54,8.0
2017,09,09,00,09,9.9
2017,09,09,00,24,10.3
2017,09,09,00,39,8.0
2017,09,09,00,54,10.0
2017,09,09,01,09,8.0
2017,09,09,01,24,6.3
2017,09,09,01,39,7.8
2017,09,09,01,54,7.0
2017,09,09,02,09,8.4
2017,09,09,02,24,8.1
2017,09,09,02,39,6.9
2017,09,09,02,54,6.5
2017,09,09,03,09,6.0
2017,09,09,03,24,7.0
2017,09,09,03,39,5.9
2017,09,09,03,54,5.9
2017,09,09,04,09,6.0
2017,09,09,04,24,5.7
2017,09,09,04,39,5.9
2017,09,09,04,54,5.7
2017,09,09,05,09,6.1
2017,09,09,05,24,5.8
2017,09,09,05,39,5.9
2017,09,09,05,54,6.2
2017,09,09,06,09,5.9
2017,09,09,06,24,6.1
2017,09,09,06,39,5.5
2017,09,09,06,54,5.5
2017,09,09,07,09,5.4
2017,09,09,07,24,5.6
2017,09,09,07,39,5.7
2017,09,09,07,54,5.7
2017,09,09,08,09,6.6
2017,09,09,08,24,7.2
2017,09,09,08,39,12.0
2017,09,09,08,54,7.7
2017,09,09,09,09,7.9
2017,09,09,09,24,10.8
2017,09,09,09,39,9.3
2017,09,09,09,54,9.9
2017,09,09,10,09,9.4
2017,09,09,10,24,9.5
2017,09,09,10,39,8.4
2017,09,09,10,54,10.7
2017,09,09,11,09,10.9
2017,09,09,11,24,10.1
2017,09,09,11,39,10.0
2017,09,09,11,54,11.5
2017,09,09,12,09,6.6
2017,09,09,12,24,6.2
2017,09,09,12,39,7.4
2017,09,09,12,54,6.8
2017,09,09,13,09,7.3
2017,09,09,13,24,6.8
2017,09,09,13,39,10.1
2017,09,09,13,54,6.8
2017,09,09,14,09,6.9
2017,09,09,14,24,7.0
2017,09,09,14,39,7.3
2017,09,09,14,54,9.2
2017,09,09,15,09,14.8
2017,09,09,15,24,10.9
2017,09,09,15,39,10.0
2017,09,09,15,54,9.2
2017,09,09,16,09,10.4
2017,09,09,16,24,9.3
2017,09,09,16,39,7.2
2017,09,09,16,54,7.1
2017,09,09,17,09,6.5
2017,09,09,17,24,7.1
2017,09,09,17,39,11.0
2017,09,09,17,54,9.1
2017,09,09,18,09,7.9
2017,09,09,18,24,8.9
2017,09,09,18,39,10.9
2017,09,09,18,54,8.5
2017,09,09,19,09,11.8
2017,09,09,19,24,9.5
2017,09,09,19,39,11.3
2017,09,09,19,54,9.1
2017,09,09,20,09,13.8
2017,09,09,20,24,15.9
2017,09,09,20,39,12.6
2017,09,09,20,54,11.5
2017,09,09,21,09,10.7
2017,09,09,21,24,8.8
2017,09,09,21,39,9.3
2017,09,09,21,54,8.7
2017,09,09,22,09,9.0
2017,09,09,22,24,11.2
2017,09,09,22,39,12.3
2017,09,09,22,54,8.3
2017,09,09,23,09,8.2
2017,09,09,23,24,8.5
2017,09,09,23,39,8.7
2017,09,09,23,54,8.4
2017,10,10,00,09,7.1
2017,10,10,00,24,7.0
2017,10,10,00,39,7.2
2017,10,10,00,54,6.2
2017,10,10,01,09,6.9
2017,10,10,01,24,8.5
2017,10,10,01,39,7.8
2017,10,10,01,54,7.5
2017,10,10,02,09,7.3
2017,10,10,02,24,5.9
2017,10,10,02,39,6.2
2017,10,10,02,54,8.1
2017,10,10,03,09,6.3
2017,10,10,03,24,7.5
2017,10,10,03,39,7.1
2017,10,10,03,54,7.2
2017,10,10,04,09,7.2
2017,10,10,04,24,5.9
2017,10,10,04,39,6.0
2017,10,10,04,54,6.0
2017,10,10,05,09,5.9
